scaling_factor,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,0.13998082454458294,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,0.5944391179290508,0.00125,0.0,0.0,0.0,0.06192660550458716,
0.4,glue-cola,glue-mnli,glue-mrpc,0.6442953020134228,0.088125,0.0,0.0,0.0036101083032490976,0.017201834862385322,
0.45,glue-cola,glue-mnli,glue-mrpc,0.5292425695110259,0.2275,0.0,0.0,0.007220216606498195,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,0.4228187919463087,0.31125,0.004901960784313725,0.0,0.0,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,0.3911792905081496,0.300625,0.02696078431372549,0.0,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,0.38926174496644295,0.28,0.0661764705882353,0.0,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,0.40172579098753597,0.27375,0.13480392156862744,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,0.4074784276126558,0.25875,0.19852941176470587,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,0.4199424736337488,0.22625,0.28431372549019607,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,0.4343240651965484,0.136875,0.34558823529411764,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,0.4707574304889741,0.026875,0.37745098039215685,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,0.4707574304889741,0.003125,0.41421568627450983,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,0.23969319271332695,0.001875,0.4803921568627451,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,0.0,0.00125,0.024509803921568627,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-qqp,0.014381591562799617,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-mnli,glue-qqp,0.4170661553211889,0.000625,0.0,0.0,0.0,0.0045871559633027525,
0.4,glue-cola,glue-mnli,glue-qqp,0.6251198465963567,0.044375,0.0,0.0,0.0,0.09174311926605505,
