scaling_factor,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,0.004793863854266539,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,0.23202301054650049,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.25,glue-cola,glue-mnli,glue-mrpc,0.6184084372003835,0.0025,0.0,0.0,0.0,0.05733944954128441,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,0.6749760306807286,0.038125,0.06372549019607843,0.0,0.0,0.05389908256880734,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,0.7037392138063279,0.2175,0.24509803921568626,0.0,0.04693140794223827,0.006880733944954129,
0.4,glue-cola,glue-mnli,glue-mrpc,0.6999041227229147,0.47,0.37254901960784315,0.0,0.07581227436823104,0.0,
0.45,glue-cola,glue-mnli,glue-mrpc,0.710450623202301,0.5575,0.4877450980392157,0.0,0.02888086642599278,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,0.7123681687440077,0.583125,0.5392156862745098,0.0,0.018050541516245487,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,0.7018216682646213,0.604375,0.5955882352941176,0.0,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,0.700862895493768,0.61875,0.6151960784313726,0.0,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,0.6903163950143816,0.6325,0.6274509803921569,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,0.6807286673058485,0.635,0.6348039215686274,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,0.6740172579098753,0.650625,0.6397058823529411,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,0.673058485139022,0.645625,0.6372549019607843,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,0.6673058485139022,0.613125,0.6446078431372549,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,0.6558005752636625,0.5725,0.6519607843137255,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,0.6490891658676894,0.530625,0.6470588235294118,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,0.6500479386385427,0.48,0.6519607843137255,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-qqp,0.07190795781399809,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-qqp,0.4506232023010546,0.00125,0.0,0.0,0.0,0.0034403669724770644,
0.30000000000000004,glue-cola,glue-mnli,glue-qqp,0.6663470757430489,0.016875,0.0,0.0075,0.0,0.02522935779816514,
